C0:56:27:3A:34:29,48:F8:B3:24:A8:3F,F0:29:29:92:6B:50,B4:E9:B0:E5:0B:D0,Bin
20,60,47,45,6
32,62,50,46,6
32,62,45,44,6
23,54,45,43,6
23,57,48,43,6
21,54,44,44,6
21,55,50,44,6
22,51,48,44,6
21,54,49,42,6
22,57,48,52,6
23,62,38,56,7
23,61,44,56,7
23,65,42,54,7
27,65,41,57,7
27,66,41,57,7
27,53,45,54,7
27,65,43,60,7
24,51,44,58,7
24,64,39,60,7
24,63,40,59,7
25,61,44,49,7
23,58,44,61,7
31,68,44,61,7
31,68,44,56,7
25,58,43,56,7
25,62,45,58,7
25,61,39,55,7
25,65,44,51,7
27,58,40,53,7
27,66,44,54,7
22,64,36,52,7
21,64,46,53,7
21,60,41,53,7
21,65,47,53,7
21,65,48,53,7
21,59,48,54,7
21,57,40,53,7
21,60,50,45,7
29,67,50,46,7
29,58,47,40,7
29,60,45,52,7
33,67,45,58,7
30,65,42,55,7
29,64,43,59,7
28,65,46,57,7
28,66,47,56,7
26,62,45,58,7
24,61,41,56,7
32,58,45,54,7
33,60,49,51,7
32,61,49,51,7
29,62,49,54,7
29,56,49,52,7
29,59,44,59,7
29,60,42,57,7
29,57,46,57,7
23,57,41,51,7
23,62,41,57,7
24,62,41,53,7
26,60,41,53,7
26,54,46,48,7
20,59,44,49,7
20,60,42,49,7
20,58,44,46,7
24,55,42,46,7
24,61,43,47,7
24,58,42,46,7
25,57,41,46,7
25,56,38,46,7
24,56,39,46,7
24,55,45,46,7
24,54,38,46,7
24,55,40,46,7
21,57,40,42,7
21,57,41,50,7
23,61,44,50,7
23,57,45,50,7
23,53,45,48,7
23,55,42,53,7
22,55,43,47,7
22,58,44,45,7
22,56,48,46,7
28,54,48,46,7
28,54,44,52,7
28,53,41,46,7
28,58,44,46,7
25,56,43,46,7
25,56,44,52,7
22,55,41,52,7
22,57,41,52,7
22,57,41,54,7
22,52,41,54,7
22,57,42,50,7
22,61,46,52,7
22,59,42,50,7
27,57,42,50,7
27,57,48,52,7
20,57,44,51,7
20,60,40,44,7
20,58,41,44,7
20,57,38,50,7
20,59,36,48,7
27,58,47,51,7
26,58,43,51,7
26,55,40,49,7
23,55,43,55,7
23,59,45,55,7
32,57,45,59,7
32,63,42,53,7
34,64,41,53,7
32,69,42,55,7
36,69,40,55,7
29,66,41,55,7
33,70,45,58,7
33,64,47,60,7
33,57,39,55,7
33,56,39,60,7
33,59,44,59,7
26,57,44,58,7
26,54,42,63,7
26,62,43,60,7
26,58,39,63,7
26,54,42,63,7
26,59,37,59,7
26,59,46,58,7
27,58,45,66,7
27,55,44,59,7
27,57,44,63,7
26,60,44,62,7
25,58,44,64,7
31,60,44,57,7
33,54,44,59,7
33,59,44,56,7
32,52,39,66,7
31,53,40,67,7
27,52,38,58,7
35,53,36,61,7
26,54,36,57,7
32,54,36,63,7
29,57,39,63,7
34,58,39,63,7
35,53,41,61,7
27,54,41,57,7
28,53,39,56,7
29,57,38,62,7
29,48,41,64,8
29,47,39,67,8
29,53,38,63,8
29,52,39,66,8
29,50,39,62,8
29,49,26,58,8
29,47,26,55,8
29,48,32,58,8
29,50,32,54,8
29,47,35,56,8
32,50,37,54,8
32,49,33,55,8
32,52,33,55,8
31,49,33,55,8
33,52,31,59,8
31,52,35,60,8
29,48,35,54,8
30,52,35,57,8
30,47,35,58,8
30,41,33,45,8
30,49,28,50,8
23,50,28,50,8
23,48,28,52,8
23,46,30,52,8
27,46,36,52,8
27,50,36,48,8
27,54,36,51,8
27,46,36,50,8
27,41,28,49,8
32,43,23,49,8
33,45,36,52,8
34,42,36,50,8
39,49,34,50,8
33,47,34,51,8
33,47,34,48,8
32,48,30,54,8
29,47,30,53,8
25,45,30,51,8
25,47,30,53,8
35,46,30,47,8
38,47,30,53,8
35,49,37,48,8
29,48,37,47,8
32,46,37,52,8
35,42,37,50,8
27,42,37,50,8
28,41,33,52,8
32,44,33,49,8
